idx,label,sw_pred_ttfs,sw_pred_count,sw_direct_count_pred,direct_count_pred_match,direct_count_score_pred_match,direct_count_vector_match,sw_ct_pruned_pred,sw_ct_count_score_pred,sw_ct_source_fire_count,sw_ct_valid_event_budget,sw_hwct_pruned_pred,sw_hwct_count_score_pred,sw_hwct_source_fire_count,sw_hwct_valid_event_budget,hw_pred,hw_pred_score,hw_pred_count,hw_pred_count_raw,hw_pred_count_score,hw_pred_s2mm,hw_pred_rtl_first_classifier,hw_matches_sw_ct_pruned,hw_matches_sw_ct_count_score,hw_matches_sw_hwct_count_score,profile_incomplete,sw_direct_class_0_count,sw_ct_class_0_count,hw_class_0_count,hw_minus_sw_direct_class_0_count,sw_ct_class_0_score,sw_hwct_class_0_count,sw_hwct_class_0_score,sw_hwct_class_0_event_count,hw_class_0_score,sw_ct_class_0_event_count,hw_class_0_event_count,router_class_0_score,router_class_0_event_count,top_class_0_score,top_class_0_event_count,sw_direct_class_1_count,sw_ct_class_1_count,hw_class_1_count,hw_minus_sw_direct_class_1_count,sw_ct_class_1_score,sw_hwct_class_1_count,sw_hwct_class_1_score,sw_hwct_class_1_event_count,hw_class_1_score,sw_ct_class_1_event_count,hw_class_1_event_count,router_class_1_score,router_class_1_event_count,top_class_1_score,top_class_1_event_count,sw_direct_class_2_count,sw_ct_class_2_count,hw_class_2_count,hw_minus_sw_direct_class_2_count,sw_ct_class_2_score,sw_hwct_class_2_count,sw_hwct_class_2_score,sw_hwct_class_2_event_count,hw_class_2_score,sw_ct_class_2_event_count,hw_class_2_event_count,router_class_2_score,router_class_2_event_count,top_class_2_score,top_class_2_event_count,sw_direct_class_3_count,sw_ct_class_3_count,hw_class_3_count,hw_minus_sw_direct_class_3_count,sw_ct_class_3_score,sw_hwct_class_3_count,sw_hwct_class_3_score,sw_hwct_class_3_event_count,hw_class_3_score,sw_ct_class_3_event_count,hw_class_3_event_count,router_class_3_score,router_class_3_event_count,top_class_3_score,top_class_3_event_count,sw_direct_class_4_count,sw_ct_class_4_count,hw_class_4_count,hw_minus_sw_direct_class_4_count,sw_ct_class_4_score,sw_hwct_class_4_count,sw_hwct_class_4_score,sw_hwct_class_4_event_count,hw_class_4_score,sw_ct_class_4_event_count,hw_class_4_event_count,router_class_4_score,router_class_4_event_count,top_class_4_score,top_class_4_event_count,sw_direct_class_5_count,sw_ct_class_5_count,hw_class_5_count,hw_minus_sw_direct_class_5_count,sw_ct_class_5_score,sw_hwct_class_5_count,sw_hwct_class_5_score,sw_hwct_class_5_event_count,hw_class_5_score,sw_ct_class_5_event_count,hw_class_5_event_count,router_class_5_score,router_class_5_event_count,top_class_5_score,top_class_5_event_count,sw_direct_class_6_count,sw_ct_class_6_count,hw_class_6_count,hw_minus_sw_direct_class_6_count,sw_ct_class_6_score,sw_hwct_class_6_count,sw_hwct_class_6_score,sw_hwct_class_6_event_count,hw_class_6_score,sw_ct_class_6_event_count,hw_class_6_event_count,router_class_6_score,router_class_6_event_count,top_class_6_score,top_class_6_event_count,sw_direct_class_7_count,sw_ct_class_7_count,hw_class_7_count,hw_minus_sw_direct_class_7_count,sw_ct_class_7_score,sw_hwct_class_7_count,sw_hwct_class_7_score,sw_hwct_class_7_event_count,hw_class_7_score,sw_ct_class_7_event_count,hw_class_7_event_count,router_class_7_score,router_class_7_event_count,top_class_7_score,top_class_7_event_count,sw_direct_class_8_count,sw_ct_class_8_count,hw_class_8_count,hw_minus_sw_direct_class_8_count,sw_ct_class_8_score,sw_hwct_class_8_count,sw_hwct_class_8_score,sw_hwct_class_8_event_count,hw_class_8_score,sw_ct_class_8_event_count,hw_class_8_event_count,router_class_8_score,router_class_8_event_count,top_class_8_score,top_class_8_event_count,sw_direct_class_9_count,sw_ct_class_9_count,hw_class_9_count,hw_minus_sw_direct_class_9_count,sw_ct_class_9_score,sw_hwct_class_9_count,sw_hwct_class_9_score,sw_hwct_class_9_event_count,hw_class_9_score,sw_ct_class_9_event_count,hw_class_9_event_count,router_class_9_score,router_class_9_event_count,top_class_9_score,top_class_9_event_count,sw_input_source_group_0_spike_count,hw_input_source_group_0_spike_count,input_source_group_0_spike_diff,sw_input_source_group_1_spike_count,hw_input_source_group_1_spike_count,input_source_group_1_spike_diff,sw_input_source_group_2_spike_count,hw_input_source_group_2_spike_count,input_source_group_2_spike_diff,sw_input_source_group_3_spike_count,hw_input_source_group_3_spike_count,input_source_group_3_spike_diff,sw_input_source_group_4_spike_count,hw_input_source_group_4_spike_count,input_source_group_4_spike_diff,sw_input_source_group_5_spike_count,hw_input_source_group_5_spike_count,input_source_group_5_spike_diff,sw_input_source_group_6_spike_count,hw_input_source_group_6_spike_count,input_source_group_6_spike_diff,sw_input_source_group_7_spike_count,hw_input_source_group_7_spike_count,input_source_group_7_spike_diff,sw_input_source_group_8_spike_count,hw_input_source_group_8_spike_count,input_source_group_8_spike_diff,sw_input_source_group_9_spike_count,hw_input_source_group_9_spike_count,input_source_group_9_spike_diff,sw_input_source_group_10_spike_count,hw_input_source_group_10_spike_count,input_source_group_10_spike_diff,sw_input_source_group_11_spike_count,hw_input_source_group_11_spike_count,input_source_group_11_spike_diff,sw_input_source_group_12_spike_count,hw_input_source_group_12_spike_count,input_source_group_12_spike_diff,sw_input_source_group_13_spike_count,hw_input_source_group_13_spike_count,input_source_group_13_spike_diff,sw_input_source_group_14_spike_count,hw_input_source_group_14_spike_count,input_source_group_14_spike_diff,sw_input_source_group_15_spike_count,hw_input_source_group_15_spike_count,input_source_group_15_spike_diff,total_latency_cycles,ct_lookup_count,ct_valid_entry_count,router_busy_cycles,router_stall_cycles,cross_group_event_count,same_group_event_count,intra_weight_lookup_count,intra_weight_nonzero_count,intra_fifo_blocked_event_count,drop_spike_count,class_0_spike_count,class_1_spike_count,class_2_spike_count,class_3_spike_count,class_4_spike_count,class_5_spike_count,class_6_spike_count,class_7_spike_count,class_8_spike_count,class_9_spike_count,class_0_score,class_1_score,class_2_score,class_3_score,class_4_score,class_5_score,class_6_score,class_7_score,class_8_score,class_9_score,class_0_event_count,class_1_event_count,class_2_event_count,class_3_event_count,class_4_event_count,class_5_event_count,class_6_event_count,class_7_event_count,class_8_event_count,class_9_event_count,out_fifo_overflow_drop_count,ct_lookup_minus_expected,ct_valid_minus_expected,ct_invalid_minus_expected,ct_cross_minus_expected,ct_same_minus_expected,ct_mode_ok
0,7,7,7,7,0,0,0,7,7,82,1230,7,7,82,1230,7,7,7,7,7,7,,1,1,1,0,15,24,25,10,4560,24,4560,90,4332,90,88,0,0,0,0,15,22,22,7,4431,22,4431,79,4337,79,76,0,0,0,0,15,21,21,6,3792,21,3792,92,3454,92,85,0,0,0,0,15,28,28,13,5370,28,5370,109,4866,109,101,0,0,0,0,15,35,34,19,6286,35,6286,126,5996,126,121,0,0,0,0,15,29,29,14,5754,29,5754,115,5236,115,105,0,0,0,0,15,23,23,8,4639,23,4639,85,4205,85,78,0,0,0,0,15,76,76,61,12813,76,12813,264,12324,264,252,0,0,0,0,15,20,21,6,4473,20,4473,93,3898,93,86,0,0,0,0,15,51,50,35,9129,51,9129,177,8396,177,163,0,0,0,0,5,0,-5,7,0,-7,6,0,-6,8,0,-8,4,0,-4,5,0,-5,4,0,-4,4,0,-4,4,0,-4,5,0,-5,6,0,-6,3,0,-3,6,0,-6,5,0,-5,5,0,-5,5,0,-5,848331,1566,1155,33757,25434,1155,0,52608,75,0,0,25,22,21,28,34,29,23,76,21,50,4332,4337,3454,4866,5996,5236,4205,12324,3898,8396,88,76,85,101,121,105,78,252,86,163,0,,,,,,
1,2,2,3,3,0,0,0,3,3,132,1980,3,3,132,1980,3,3,3,3,3,3,,1,1,1,0,15,52,55,40,9500,52,9500,216,8909,216,199,0,0,0,0,15,60,64,49,10779,60,10779,222,10015,222,204,0,0,0,0,15,64,67,52,10621,64,10621,290,9779,290,266,0,0,0,0,15,66,69,54,11185,66,11185,256,10297,256,236,0,0,0,0,15,29,35,20,5876,29,5876,136,5367,136,123,0,0,0,0,15,58,64,49,10286,58,10286,232,9636,232,217,0,0,0,0,15,48,56,41,8967,48,8967,201,8295,201,188,0,0,0,0,15,26,33,18,5305,26,5305,112,5021,112,107,0,0,0,0,15,48,53,38,8821,48,8821,190,8036,190,176,0,0,0,0,15,35,41,26,7072,35,7072,125,6595,125,115,0,0,0,0,9,0,-9,10,0,-10,10,0,-10,9,0,-9,8,0,-8,6,0,-6,9,0,-9,7,0,-7,9,0,-9,7,0,-7,9,0,-9,8,0,-8,6,0,-6,8,0,-8,7,0,-7,10,0,-10,891254,2500,1831,58406,45105,1831,0,85632,149,0,0,55,64,67,69,35,64,56,33,53,41,8909,10015,9779,10297,5367,9636,8295,5021,8036,6595,199,204,266,236,123,217,188,107,176,115,0,,,,,,
2,1,1,1,1,0,0,0,1,1,49,735,1,1,49,735,1,1,1,1,1,5,,1,1,1,0,15,15,22,7,3191,15,3191,58,2946,58,55,0,0,0,0,15,61,64,49,10175,61,10175,162,9687,162,153,0,0,0,0,15,16,23,8,3273,16,3273,68,3114,68,64,0,0,0,0,15,26,35,20,5291,26,5291,96,4941,96,88,0,0,0,0,15,8,12,-3,2349,8,2349,37,2142,37,34,0,0,0,0,15,10,17,2,2800,10,2800,53,2415,53,47,0,0,0,0,15,14,20,5,3480,14,3480,59,3234,59,55,0,0,0,0,15,11,15,0,2642,11,2642,49,2593,49,48,0,0,0,0,15,21,30,15,4597,21,4597,89,4201,89,81,0,0,0,0,15,17,24,9,3630,17,3630,64,3505,64,61,0,0,0,0,2,0,-2,2,0,-2,3,0,-3,3,0,-3,3,0,-3,3,0,-3,4,0,-4,3,0,-3,3,0,-3,3,0,-3,4,0,-4,4,0,-4,2,0,-2,3,0,-3,4,0,-4,3,0,-3,764816,997,686,22762,17417,686,0,39808,49,0,0,22,64,23,35,12,17,20,15,30,24,2946,9687,3114,4941,2142,2415,3234,2593,4201,3505,55,153,64,88,34,47,55,48,81,61,0,,,,,,
3,0,0,0,0,0,0,0,0,0,157,2355,0,0,157,2355,0,0,0,0,0,0,,1,1,1,0,15,101,103,88,16550,101,16550,354,15299,354,330,0,0,0,0,15,47,51,36,8823,47,8823,157,8362,157,148,0,0,0,0,15,62,67,52,10862,62,10862,224,10207,224,211,0,0,0,0,15,72,76,61,12301,72,12301,247,11328,247,228,0,0,0,0,15,61,65,50,10830,61,10830,204,10336,204,194,0,0,0,0,15,72,81,66,12604,72,12604,249,11649,249,231,0,0,0,0,15,85,90,75,14160,85,14160,295,12929,295,270,0,0,0,0,15,75,80,65,12984,75,12984,235,12321,235,222,0,0,0,0,15,45,50,35,8020,45,8020,158,7393,158,149,0,0,0,0,15,72,75,60,12725,72,12725,232,11957,232,216,0,0,0,0,8,0,-8,11,0,-11,12,0,-12,10,0,-10,8,0,-8,10,0,-10,10,0,-10,11,0,-11,8,0,-8,8,0,-8,10,0,-10,11,0,-11,9,0,-9,11,0,-11,10,0,-10,10,0,-10,839428,3094,2199,73534,57012,2199,0,114560,156,0,0,103,51,67,76,65,81,90,80,50,75,15299,8362,10207,11328,10336,11649,12929,12321,7393,11957,330,148,211,228,194,231,270,222,149,216,0,,,,,,
4,4,4,4,4,0,0,0,4,4,94,1410,4,4,94,1410,4,4,4,4,4,7,,1,1,1,0,15,42,47,32,7322,42,7322,168,6597,168,151,0,0,0,0,15,19,24,9,4077,19,4077,61,3973,61,60,0,0,0,0,15,34,40,25,6651,34,6651,133,6259,133,126,0,0,0,0,15,33,37,22,6740,33,6740,129,6078,129,117,0,0,0,0,15,63,67,52,11338,63,11338,216,10562,216,200,0,0,0,0,15,31,36,21,6432,31,6432,126,5832,126,116,0,0,0,0,15,37,40,25,7215,37,7215,130,6694,130,123,0,0,0,0,15,39,46,31,7040,39,7040,131,6716,131,125,0,0,0,0,15,33,39,24,6322,33,6322,135,5782,135,124,0,0,0,0,15,51,58,43,9210,51,9210,181,8515,181,165,0,0,0,0,6,0,-6,8,0,-8,7,0,-7,5,0,-5,5,0,-5,5,0,-5,6,0,-6,3,0,-3,5,0,-5,6,0,-6,6,0,-6,6,0,-6,6,0,-6,7,0,-7,7,0,-7,6,0,-6,847528,1834,1307,43148,33357,1307,0,67456,88,0,0,47,24,40,37,67,36,40,46,39,58,6597,3973,6259,6078,10562,5832,6694,6716,5782,8515,151,60,126,117,200,116,123,125,124,165,0,,,,,,
5,1,1,1,1,0,0,0,1,1,64,960,1,1,64,960,1,1,1,1,1,1,,1,1,1,0,15,19,21,6,3736,19,3736,67,3443,67,63,0,0,0,0,15,69,74,59,11691,69,11691,185,11106,185,176,0,0,0,0,15,23,25,10,4056,23,4056,80,3897,80,76,0,0,0,0,15,41,47,32,7171,41,7171,129,6453,129,116,0,0,0,0,15,15,21,6,3667,15,3667,55,3460,55,52,0,0,0,0,15,19,23,8,3956,19,3956,76,3504,76,68,0,0,0,0,15,20,28,13,4412,20,4412,68,4166,68,64,0,0,0,0,15,23,27,12,4376,23,4376,88,4245,88,85,0,0,0,0,15,37,39,24,6312,37,6312,125,5766,125,115,0,0,0,0,15,23,26,11,4691,23,4691,87,4521,87,82,0,0,0,0,3,0,-3,3,0,-3,6,0,-6,5,0,-5,3,0,-3,5,0,-5,4,0,-4,4,0,-4,3,0,-3,4,0,-4,4,0,-4,4,0,-4,4,0,-4,3,0,-3,4,0,-4,5,0,-5,802631,1292,897,27545,20626,897,0,50560,63,0,0,21,74,25,47,21,23,28,27,39,26,3443,11106,3897,6453,3460,3504,4166,4245,5766,4521,63,176,76,116,52,68,64,85,115,82,0,,,,,,
6,4,4,4,4,0,0,0,9,9,98,1470,9,9,98,1470,7,9,7,7,7,0,,0,0,0,0,15,31,37,22,5884,31,5884,134,5502,134,125,0,0,0,0,15,33,36,21,6452,33,6452,97,6238,97,94,0,0,0,0,15,25,31,16,5021,25,5021,103,4761,103,97,0,0,0,0,15,47,50,35,8144,47,8144,164,7526,164,155,0,0,0,0,15,49,57,42,9229,49,9229,182,8915,182,174,0,0,0,0,15,41,48,33,7529,41,7529,166,6950,166,153,0,0,0,0,15,29,32,17,5406,29,5406,96,5013,96,89,0,0,0,0,15,53,60,45,9484,53,9484,188,9043,188,177,0,0,0,0,15,40,44,29,7545,40,7545,160,7017,160,149,0,0,0,0,15,53,59,44,9622,53,9622,180,9112,180,169,0,0,0,0,9,0,-9,5,0,-5,5,0,-5,4,0,-4,6,0,-6,6,0,-6,4,0,-4,5,0,-5,6,0,-6,7,0,-7,6,0,-6,8,0,-8,7,0,-7,6,0,-6,7,0,-7,7,0,-7,836570,1934,1382,46600,36280,1382,0,70656,88,0,0,37,36,31,50,57,48,32,60,44,59,5502,6238,4761,7526,8915,6950,5013,9043,7017,9112,125,94,97,155,174,153,89,177,149,169,0,,,,,,
7,9,9,9,9,0,0,0,9,9,98,1470,9,9,98,1470,9,9,9,9,9,3,,1,1,1,0,15,33,37,22,6179,33,6179,134,5603,134,126,0,0,0,0,15,44,49,34,7908,44,7908,131,7518,131,124,0,0,0,0,15,21,28,13,4546,21,4546,96,4133,96,87,0,0,0,0,15,49,53,38,8335,49,8335,165,7761,165,155,0,0,0,0,15,49,54,39,9031,49,9031,175,8118,175,157,0,0,0,0,15,46,51,36,8131,46,8131,177,7728,177,167,0,0,0,0,15,37,38,23,6422,37,6422,127,5509,127,112,0,0,0,0,15,45,49,34,8043,45,8043,144,7685,144,136,0,0,0,0,15,33,40,25,6286,33,6286,123,5803,123,114,0,0,0,0,15,60,63,48,10046,60,10046,198,9461,198,183,0,0,0,0,7,0,-7,5,0,-5,6,0,-6,7,0,-7,6,0,-6,5,0,-5,6,0,-6,8,0,-8,6,0,-6,4,0,-4,7,0,-7,8,0,-8,7,0,-7,5,0,-5,6,0,-6,5,0,-5,826697,1920,1361,46948,36691,1361,0,71552,94,0,0,37,49,28,53,54,51,38,49,40,63,5603,7518,4133,7761,8118,7728,5509,7685,5803,9461,126,124,87,155,157,167,112,136,114,183,0,,,,,,
8,5,5,2,2,0,0,0,4,0,136,2040,4,0,136,2040,4,4,4,4,4,4,,1,0,0,0,15,66,70,55,11085,66,11085,255,10189,255,236,0,0,0,0,15,52,58,43,9596,52,9596,186,9234,186,178,0,0,0,0,15,55,56,41,9553,55,9553,199,9065,199,187,0,0,0,0,15,51,55,40,9298,51,9298,176,8569,176,162,0,0,0,0,15,65,72,57,11921,65,11921,245,11300,245,228,0,0,0,0,15,56,61,46,10163,56,10163,221,9076,221,201,0,0,0,0,15,63,71,56,11403,63,11403,218,10359,218,200,0,0,0,0,15,46,51,36,8303,46,8303,158,8037,158,152,0,0,0,0,15,47,55,40,8647,47,8647,185,8057,185,171,0,0,0,0,15,56,62,47,10240,56,10240,197,9712,197,184,0,0,0,0,8,0,-8,8,0,-8,9,0,-9,9,0,-9,9,0,-9,10,0,-10,9,0,-9,9,0,-9,7,0,-7,7,0,-7,7,0,-7,9,0,-9,10,0,-10,9,0,-9,7,0,-7,9,0,-9,874838,2646,1899,61071,46958,1899,0,95616,141,0,0,70,58,56,55,72,61,71,51,55,62,10189,9234,9065,8569,11300,9076,10359,8037,8057,9712,236,178,187,162,228,201,200,152,171,184,0,,,,,,
9,9,9,9,9,0,0,0,9,9,141,2115,9,9,141,2115,9,9,9,9,9,9,,1,1,1,0,15,61,63,48,10124,61,10124,221,9581,221,210,0,0,0,0,15,65,69,54,11217,65,11217,186,10703,186,177,0,0,0,0,15,38,43,28,6954,38,6954,140,6634,140,133,0,0,0,0,15,49,55,40,8701,49,8701,173,8045,173,162,0,0,0,0,15,78,84,69,13705,78,13705,259,13148,259,248,0,0,0,0,15,57,62,47,10467,57,10467,200,9565,200,183,0,0,0,0,15,51,53,38,9248,51,9248,171,8548,171,159,0,0,0,0,15,86,89,74,14493,86,14493,291,13944,291,280,0,0,0,0,15,49,55,40,9163,49,9163,185,8474,185,172,0,0,0,0,15,89,90,75,14797,89,14797,289,14115,289,272,0,0,0,0,7,0,-7,8,0,-8,9,0,-9,9,0,-9,9,0,-9,8,0,-8,9,0,-9,10,0,-10,10,0,-10,10,0,-10,9,0,-9,11,0,-11,8,0,-8,8,0,-8,7,0,-7,9,0,-9,816538,2800,1996,63970,49025,1996,0,102912,119,0,0,63,69,43,55,84,62,53,89,55,90,9581,10703,6634,8045,13148,9565,8548,13944,8474,14115,210,177,133,162,248,183,159,280,172,272,0,,,,,,
